,index,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,id
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,1,0.043878793716430664,0.034813765436410904,0.034631792455911636,0.037011146545410156,0.044173345901072025,0.06978864991106093,0.034320140490308404,0.7526759172324091,0.04392994940280914,0
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,3,0.1942875722888857,0.16360405460000038,0.1332401493564248,0.0639579901471734,0.15198052884079516,0.15986087010242045,0.4223333904519677,0.7656784066930413,0.10049952566623688,0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1,0.04297573957592249,0.034631792455911636,0.03256236109882593,0.037328862585127354,0.040562264854088426,0.05025762692093849,0.03456934937275946,0.7442010790109634,0.040820818627253175,1
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,3,0.045602215686813,0.034331448609009385,0.03863129788078368,0.04645992908626795,0.041657447814941406,0.05136514292098582,0.03988289833068848,0.7678429430816323,0.04277984262444079,1
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0.24358719238080084,0.23586246743798256,0.17565584019757807,0.060908094979822636,0.28259957232512534,0.36927653127349913,0.22795612458139658,0.7927780747413635,0.07222000136971474,2
1,1,0.05012772255577147,0.06663261190988123,0.2296786904335022,0.04386600945144892,0.18027757201343775,0.15773269906640053,0.04792502359487116,0.7737910377327353,0.05820480198599398,2
2,2,0.3950433994177729,0.4489384407643229,0.34716003481298685,0.06892868224531412,0.5210638626012951,0.4530783670488745,0.35123564302921295,0.7885719670448452,0.6044056499376893,2
7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,4,0.36184072587639093,0.6618930781260133,0.5053887376561761,0.07220359984785318,0.34402048238553107,0.42047119140625,0.08104454004205763,0.7861077869310975,0.5060398019850254,2
4,5,0.42730607092380524,0.623751916224137,0.5404726602137089,0.07042700052261353,0.435161828994751,0.40671369642950594,0.39011018560267985,0.7919631162658334,0.5335400113835931,2
5,6,0.031351301819086075,0.02655722200870514,0.03149736695922911,0.034393676556646824,0.03762425482273102,0.03315982315689325,0.03021091246046126,0.7512204358354211,0.030322406440973282,2
8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6,8,0.1609976440668106,0.1354436764959246,0.12223738455213606,0.0716062190476805,0.3984650040511042,0.2381951140705496,0.3998725125566125,0.7784960269927979,0.048999918857589364,2
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,0,0.03733475902117789,0.03276643552817404,0.033109827199950814,0.036263465881347656,0.03543718927539885,0.03950592968612909,0.03517914190888405,0.7530201459303498,0.040599150815978646,3
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3,2,0.039179060608148575,0.03750595822930336,0.03698766604065895,0.034066200256347656,0.04004762158729136,0.04515365604311228,0.03760058060288429,0.7580070206895471,0.03836782858707011,3
4,3,0.12131088320165873,0.07129623577930033,0.14373187813907862,0.05906940996646881,0.18455267790704966,0.15326814004220068,0.21476243645884097,0.7733079048339278,0.05976867023855448,3
5,4,0.03830807493068278,0.03725814167410135,0.034637471893802285,0.03383565344847739,0.03836782858707011,0.04198196902871132,0.036876235390082,0.7646106267347932,0.03998047113418579,3
6,5,0.03834392153657973,0.03585780505090952,0.032799588749185205,0.03480807156302035,0.03616473847068846,0.039221355924382806,0.03613572660833597,0.7571835836861283,0.0409504035487771,3
7,6,0.39177024737000465,0.1756814217660576,0.13184026256203651,0.07521935645490885,0.12061037123203278,0.1475166624877602,0.41437870101071894,0.7768274853006005,0.11925758421421051,3
8,7,0.03855336084961891,0.034717032918706536,0.07158988737501204,0.03411691286601126,0.03729349374771118,0.04160140850581229,0.03586936369538307,0.7593094951007515,0.03855935321189463,3
9,8,0.1308117548469454,0.1366255283355713,0.13198435329832137,0.05607478343881667,0.20167412259615958,0.1584000161383301,0.14021331444382668,0.7704122758004814,0.049013430485501885,3
10,9,0.06393483863212168,0.3510909676551819,0.6891310252249241,0.0761596942320466,0.2562643438577652,0.23782290518283844,0.05541909113526344,0.7878675220999867,0.07023276388645172,3
